Code,Code+B1,Definition,Keywords,Notes
,,,FINANCIAL ASSISTANCE * unemployment,
NT,Temporary Financial Assistance,"Programs that provide assistance for people who are experiencing an unexpected financial crisis and have insufficient resources to obtain essential services or to meet expenses in situations where financial assistance related to their specific circumstance is unavailable. Monetary assistance may be in the form of immediate cash, loans, cheques or vouchers.",FINANCIAL ASSISTANCE * emergency,
PB-1600,Coroner Services,"Programs that conduct investigations, inquests, postmortem examinations and laboratory tests to determine the cause, manner and circumstances of death in all cases of natural death when the individual was unattended by a physician, and in all cases of unnatural death (homicides, suicides, accidents or deaths of a suspicious nature). The coronor's office is also responsible for correctly identifying the deceased and for making proper disposition of the remains. Also included are programs that pay for autopsies when required.",INVESTIGATION * death/dying,
,,,CORONER,
PD-7600.0600,Animal Shelters,"Programs that provide protection and care for unwanted pets or stray animals, and hold them for a specified period of time to provide an opportunity for owners to claim them prior to offering them for adoption. Included are shelters that euthanize the animals if not adopted within a specified amount of time, as well as ""no kill"" shelters that will keep the animals until they are adopted.",HOUSING (temporary) * Animals,
PH-0300,Adoption Services,"Programs that participate in arranging permanent homes under new legal parentage for individuals whose birth parents are unable or unwilling to provide for their care.  Included are programs that provide counselling and assistance for people who want to relinquish their children for adoption or arrange for an independent adoption; which recruit, select, counsel and match suitable adoptive parents with children who have been relinquished; which assist in the adoption of foreign-born children, stepchildren or adults; which provide foster care for children who have been relinquished for adoption but not yet placed; and/or which assist people who are adopted to locate their birth parents and birth parents to locate the children they relinquished.",ADOPTION * children (in government care),
,,,ADOPTION * youth (in government care),
PH-0320,Adult Day Programs,"Programs that provide care and supervision in a protective setting for dependent adults living in the community during some portion of a 24-hour day. Services may include social and recreational activities, training that is essential for sustaining activities of daily living, hot meals, as appropriate and, if an adult day health care centre, health and related services.",DAY PROGRAMS * disability,
,,,DAY PROGRAMS * health conditions,
PH-1250.1400,Child Care Centres,"Programs that are licensed to provide supervised care within designated facilities for children during some portion of a 24-hour day. Staff for approved day care centres must meet defined educational requirements; the program must ensure specified adult/child ratios; and the facility must meet building, fire and zoning codes. Services may include recreational and developmental activities and snacks and/or meals, as appropriate.",DAY CARE * Children,
PH-1400.1900-230,Friendly Visiting,"Programs that use ""friendly visitors"" (usually volunteers but also paid hourly companions) to call on people who are hospitalized or in another institutional setting, who are homebound or socially isolated due to disability or old age, or otherwise lack companionship with the objective of brightening their day and helping them to maintain contact with the outside world by reading, talking, listening, writing letters or performing other similar tasks.",VISITING *,"2015 Mar 16 - SL added term, and added to records where appropriate"
PH-1400.5000,Mentoring Programs,"Programs that provide companionship, guidance and/or role models for individuals who are disadvantaged because of age, income, physical or developmental disabilities or family environment.",MENTORING * RECREATION * Children,
,,,MENTORING * RECREATION * Youth,
,,,BIG BROTHERS,
,,,BIG SISTERS,
,,,MENTORING * Youth,
,,,MENTORING * Children,
PH-1400.6500-650,Parent to Parent Networking,"Programs that link parents whose children have a specific disease, disorder, disability or other issues with other parents whose children have similar challenges for the purpose of information sharing and support. Also included are programs for parents who themselves have a disability or other problems that have an impact on their parenting ability.",NETWORKING * children * Parents,
PH-1450.6000,Newcomer Settlement Services,"Programs that help newly arrived immigrant and refugee individuals or families make the adjustment to their new home and community. Services may include reception upon arrival; provision of a ""welcome kit"" of immediate necessities and information; collection and provision of household goods; cultural orientation and ESL or FSL classes; and assistance in locating housing and employment, using public transportation and identifying other needed services.",SETTLEMENT ASSISTANCE * Immigrants/Ethnocultural Groups,"2015 Apr 22: new taxonomy term, replaces retired term PH-1450.3400 Immigrant Resettlmeent Services which we'd used previously. Replacements all done in database. SL"
PH-1800.6260,Personal Alarm Systems,"Programs that provide electronic equipment which connects frail elderly individuals, people who have disabilities or people at risk of violence from an ex-partner with the police, participating hospitals, paramedics or other sources of emergency assistance. ",EQUIPMENT * disability * emergency,
,,,EQUIPMENT * emergency * health conditions,
,,,EQUIPMENT * emergency * Seniors,
,,,MEDICAL ALARMS,
PH-2000,Employee Assistance Programs,"Programs that contract with employers to offer confidential help to employees, and in some cases their families, whose legal, financial, marital, parent-child, child care, alcoholism, drug abuse, health and/or mental health problems could have a direct impact on their attendance and job performance.  EAPs vary in complexity from telephone hotlines that offer referrals for needed services to organizations that offer in-person diagnosis and referral, direct counselling and/or extensive treatment for one or a variety of problems.",EMPLOYEE ASSISTANCE PROGRAMS,
PH-2360.1800,Early Childhood Family Centres,"Facilities that promote healthy child development by offering a variety of activities, resources and information for parents/caregivers and children from birth to age six. Families are encouraged to drop in or may participate in a variety of scheduled activities and programs  such as playgroups; early learning, parenting and life skills instruction; nutrition programs; and toy libraries. Outreach services and programs for expectant couples may also be included.",RECREATION * Families,
,,,COMMUNITY CENTRES * Families,
,,,FAMILY PLACES,
PH-2360.2400,Family Support Centres/Outreach,"Programs that provide a wide variety of social services that are designed to support the healthy development of families, improve family interaction skills and help fragile families to resolve their problems at a pre-crisis stage before they become unmanageable.  Services may be centre-based or provided on an outreach basis to families who are initially reluctant to seek support and generally target the specific needs of a particular community.  Included may be self-sufficiency programs which help families break the cycle of poverty by addressing the barriers to self-sufficiency; early child development and school success programs; programs which address the needs of teen parents; programs which target parents at risk for becoming abusive; programs for families with children who have special developmental needs and programs that focus on the maternal and child health care needs of first-time, expectant women whose babies are at high risk for low birth weight and infant mortality.",OUTREACH * Christian,
PH-2400.1900,Foster Home Placement,"Programs that link individuals who are in need of alternative living arrangements with appropriate private family homes that are licensed to provide foster care. Licensing requirements vary from province to province and, in some situations, licensing is not required at all. Programs that provide placement services for children and adults with disabilities are generally also responsible for recruiting, training, certifying and monitoring placements in family homes and for providing support for the family and the individual(s) with disabilities who live with them.",FOSTER CARE * Youth (in government care),
,,,FOSTER CARE * Children (in government care),
PH-2400.2000,Foster Parent/Family Recruitment,"Programs that identify and enlist people who are willing to provide foster care for dependent children who have been removed from their homes because of abuse, neglect or abandonment and need an alternative family living arrangement, or for children or adults with developmental disabilities, sensory impairments, physical disabilities, emotional problems or multiple disabilities who are unable to live with their birth families or in an independent setting. Programs that recruit families to provide foster care for children and adults with disabilities are generally also responsible for training, certifying and monitoring placements in family homes and for providing support for the family and the individual(s) with disabilities who live with them.",ADMINISTRATION * foster care,
,,,INFORMATION AND REFERRAL * foster care * Service Providers,"used as a proxy, as there is no support services for foster parents Taxonomy term."
PH-2950.1500,Christmas Programs,Programs that sponsor seasonal activities and/or provide special assistance for low-income community residents in order to facilitate their ability to celebrate and enjoy the Christmas holidays.,TOYS * christmas * Children,
,,,FOOD (groceries) * christmas,
,,,FOOD (meals) * christmas,
PH-3300,In Home Assistance,"Programs that provide assistance in performing routine household, yard and personal care activities for older adults, people with disabilities, eligible low income people, families whose normal routines have been disrupted by an emergency or others who need or want these services. The objective of in-home assistance is to help the recipient sustain independent living in a clean, safe and healthy home environment.",HOME SUPPORT,2015 Jul 24: SL added to list as it is used in database.
,,,HOUSEKEEPING,
,,,REPAIRS/MAINTENANCE * home/garden,
PH-3500.4550,Language Translation,"Programs that offer the services of bilingual individuals who have reading and writing proficiency in either English and/or French, and one or more other languages to transfer documents written into English from French or vice versa; from English or French into another language; or from another language to English or French.",TRANSLATION/INTERPRETATION,
PH-3500.8500,Telecommunication Relay Services,"Programs that allow people who are deaf, hard of hearing or have speech impairments to communicate through a communications assistant with people who use a standard telephone or the Internet. The communications assistant relays TTY (text telephone or telecommunications device for deaf and hard of hearing individuals) to the telephone user and types that person's response back to the TTY user. Three options when using a telephone relay service are voice carry-over (VCO), hearing carry-over (HCO) and speech-to-speech (STS).  VCO allows a person with a hearing impairment to speak directly to the other party and then read the response typed by a communications assistant. HCO allows a person with a speech impairment to hear the other party and relay the TTY response back to the telephone user through the communications assistant. STS provides assistance for people with speech disabilities who have difficulty being understood on the phone. STS communications assistants are specially trained in understanding a variety of speech disorders, which enables them to repeat what the caller says in a manner that makes the caller’s words clear and understandable to the called party. The relay service allows individuals with communication disorders to communicate with all telephone users. Telecommunication relay services can be reached by dialing 711. ",MESSAGE RELAY,
,,,TRANSLATION/INTERPRETATION * deaf and hard-of-hearing,
PH-6100,Parenting Education,"Programs that provide classes, workshops or other educational opportunities for parents or potential parents who want to acquire the knowledge and skills to be effective in their parenting role.",TRAINING * parenting * Parents,
PH-6200.4500,Leadership Development,"Programs that provide opportunities for individuals of all ages to develop their leadership and management skills through participation in activities which require planning a workscope, organizing ways to achieve planned objectives, motivating members to complete tasks they have agreed to perform and evaluating the group's progress; or through training which addresses these skills.",TRAINING * leadership,
PH-6200.4600,Life Skills Education,"Programs that offer training which focuses on the knowledge and skills an individual may need to live independently or make a successful transition to independent living. Participants may include runaway youth who are living on their own, youth who because of age can no longer be maintained in foster care, new widows, victims of domestic abuse, people who have previously been homeless, and others who have lived in an environment in which decision making and responsibilities of daily living have been handled by another as well as people currently living independently who want to be more effective. Training may address job search and retention, money management, insurance, taxes, rental agreements, vehicle purchase, nutrition, home management, health care, legal emancipation for teens and other similar topics.",TRAINING * life skills,
PH-6500.0500-050,Adult Protective Intervention/Investigation,Programs that accept reports of elder abuse or neglect. Services include assessment of the initial report and referral to protective services for formal follow-up or other community service providers as appropriate,INTERVENTION * abuse * Seniors * Victims,
PH-6500.0500-680,Public Guardianship/Conservatorship Programs,"Programs operated by a county, city, province or other public entities that are responsible for investigating the need for a guardian or conservator for all people who have been referred as allegedly incompetent or gravely disabled by mental illness or incapacity and which, upon appointment as guardian or conservator, are responsible for the care and custody of the individuals and/or the management of their estates.",ADMINISTRATION * estates,
,,,GUARDIANSHIP * disability (intellectual),
PH-6500.1500,Children's Protective Services,"Programs that investigate reports of child abuse, neglect or abandonment; document substantiated cases; provide for the temporary placement of children who, for their own protection, have been removed from the custody of the adults who are responsible for their care; work with families who are experiencing a problem with child abuse with the objective of facilitating continued family unification or reunification; and provide ongoing supportive services for children in permanent placement.",INTERVENTION * abuse * Children * Victims,
,,,INTERVENTION * abuse * Victims * Youth,
,,,GUARDIANSHIP * Children (in government care),
,,,GUARDIANSHIP * Youth (in government care),
PH-7000,Respite Care,"Programs that provide a brief period of relief or rest for family members, guardians or other people who are regular caregivers for dependent adults or children by offering temporary or intermittent care in the home or in community settings/facilities.",RESPITE CARE,
PH-8000,Street Outreach Programs,"Programs that are staffed by outreach workers who spend time with people who live on the street, build relationships with them, identify and address their immediate needs (e.g., crisis intervention, food, clean clothing, hygiene kits, blankets, someone to listen) and provide information about and linkage to longer-term forms of support such as shelter, counselling, drug and alcohol detoxification and rehabilitation, care/case management and, where applicable, family reunification services. Street outreach programs may be staffed by volunteers or peers who were formerly homeless; and may target special populations such as homeless youth at risk for sexual abuse or exploitation, veterans, or people with specific medical or mental health conditions, or be available to the larger homeless population.",OUTREACH * homelessness,
,,,OUTREACH * street involvement,
PL-4500.2900,Hostels,"Low-cost accommodations for travellers that usually include dormitory-style or shared bedroom sleeping facilities for men and women, sanitary facilities, showers, and a kitchen where travellers can prepare their own meals. Some hostels have cafeterias or restaurants, recreation rooms and other amenities. Most hostels require that travellers provide their own sleeping bags and blankets.",HOUSING (temporary) * travel/tourism,
PL-6400.1500,Camps,"Programs that develop, maintain and make available to the public facilities for cooperative group living experiences in the out-of-doors; and which offer a wide range of activities under the supervision of trained leadership for children, youth, adults and special groups of all ages which include campcraft, cookouts, nature lore and conservation, and a wide range of indoor and outdoor recreational, athletic and group social activities.",CAMPS (day),
,,,CAMPS (residential),
PL-6400.7000,Recreational Facilities,"Programs that develop, maintain and make available to the public, acreage and facilities for a broad range of recreational activities, sports and games; and/or urban open spaces where people can gather to eat lunch, socialize and enjoy being outdoors.",COMMUNITY CENTRES,
PL-6900,Recreation Related Expense Assistance,"Programs that pay all or a portion of the fees and/or other expenses associated with instruction and/or participation in a particular recreational, artistic or leisure-time activity for people, especially children from low income families, who would be unable to enjoy those programs without assistance.",FINANCIAL ASSISTANCE * recreation,
PL-7000.3150,Disability Related Sports,"Programs that provide opportunities for people of all ages with functional or cognitive disabilities to learn, become competitive in and enjoy a wide variety of recreational activities and sports, many of which are played in wheelchairs or have otherwise been modified to accommodate the athletes' disabilities.",RECREATION * disability (physical),
PL-7000.4360,General Recreational Activities/Sports,"Programs that offer a range of organized recreational activities, sports and games that people of all ages can learn, become competitive in and enjoy.",RECREATION,
,,,FITNESS,
,,,SWIMMING,
,,,ICE RINKS,
,,,RACQUET COURTS,
PL-7400.1700,Dance Instruction,"Programs that provide classes or individual lessons for people who want to learn or perfect their skills, grace, rhythm, coordination and individual expression when executing or participating in any of a number of different dance forms.",TRAINING * dance,
PL-7400.8600,Typing Classes,Programs that offer classes that teach people the mechanics of using a typewriter or computer keyboard.,TRAINING * computing,2015 Mar 6: SL added this term and applied to records as appropriate.
PN-8100.0200,Abuse/Violence Related Support Groups,"Mutual support groups whose members are individuals who have experienced physical or emotional abuse within the context of the home or workplace, sexual assault or violent crime. The groups meet in-person, by telephone or via the Internet; provide emotional support, information and resources for participants; and may be structured for victims/survivors of abuse and/or violence, for family members and others affected by the violence, or for perpetrators of family violence.",SUPPORT GROUPS * family violence * Victims,
,,,SUPPORT GROUPS * abuse * Victims,
,,,SUPPORT GROUPS * assault (sexual) * Victims,
PN-8100.0500,Addictions/Dependencies Support Groups,"Mutual support groups whose members are individuals who are involved in substance abuse or have other dependencies or compulsive behaviours. The groups meet in-person, by telephone or via the Internet; provide emotional support, information and resources to help those who participate modify their behaviour; and may include Christian-oriented and secular 12-step groups as well as non-12 step groups.",SUPPORT GROUPS * addiction (alcohol and drug),
,,,SUPPORT GROUPS * codependency,
,,,SUPPORT GROUPS * addiction (gambling),
,,,SUPPORT GROUPS * addiction (sex),
,,,SUPPORT GROUPS * eating disorders,
,,,SUPPORT GROUPS * addiction (work),
PN-8100.1000,Bereavement Support Groups,"Mutual support groups whose members are people who have experienced the loss of a loved one. The groups meet in-person, by telephone or via the Internet; and focus on helping participants accept their loss, express their grief, move through the bereavement process and put their lives back together.",SUPPORT GROUPS * grief,
PN-8100-1400,Caregiver/Care Receiver Support Groups,"Mutual support groups whose members are family, friends, significant others, non-familial caregivers or attendants who are caring for someone who has a temporary, chronic, life-threatening or terminal illness or disability or who is elderly and increasingly unable to provide for his or her own care. The groups meet in-person, by telephone or via the Internet; and provide emotional support, information and resources to help participants ensure their own well-being while remaining involved in the intense care of a loved one. Also included are care receiver support groups that help people who have a caregiver cope with the fact that they require care. Care receiver support groups are often offered in conjunction with caregiver support groups and are structured to allow care receivers to participate in their own group while their caregiver attends another.",SUPPORT GROPUS * caregivers,"2015 Feb 26: SL added this term, and applied to records as appropriate."
PN-8100.3000,Health/Disability Related Support Groups,"Mutual support groups whose members are people who have specific disabilities, illnesses or other health conditions, their families and friends. The groups meet in-person, by telephone or via the Internet; and provide an opportunity for participants to share information, practical tips for daily living and encouragement about issues related to the disability or health problem.",SUPPORT GROUPS * hiv/aids,
,,,SUPPORT GROUPS * hepatitis,
,,,SUPPORT GROUPS * life-threatening illness,
,,,SUPPORT GROUPS * cancer,
,,,SUPPORT GROUPS * osteoporosis,
,,,SUPPORT GROUPS * pain,
,,,SUPPORT GROUPS * stroke,
,,,SUPPORT GROUPS * huntington disease,
,,,SUPPORT GROUPS * multiple sclerosis,
,,,SUPPORT GROUPS * parkinsons disease,
,,,SUPPORT GROUPS * brain injury,
,,,SUPPORT GROUPS * fetal alcohol and drug effects,
,,,SUPPORT GROUPS * intestinal disorders,
,,,SUPPORT GROUPS * obesity,
,,,SUPPORT GROUPS * respiratory conditions,
,,,SUPPORT GROUPS * stuttering,
,,,SUPPORT GROUPS * balance disorders,
,,,SUPPORT GROUPS * body image,
,,,SUPPORT GROUPS * celiac disease,
,,,SUPPORT GROUPS * diabetes,
,,,SUPPORT GROUPS * dizziness disorders,
,,,SUPPORT GROUPS * fibromyalgia,
,,,SUPPORT GROUPS * health conditions,
,,,SUPPORT GROUPS * heart disease,
,,,SUPPORT GROUPS * lupus,
,,,SUPPORT GROUPS * neurofibromatosis,
,,,SUPPORT GROUPS * ostomy,
,,,SUPPORT GROUPS * prader-willi syndrome,
,,,SUPPORT GROUPS * scleroderma,
,,,SUPPORT GROUPS * sjogrens syndrome,
,,,SUPPORT GROUPS * skin conditions,
,,,SUPPORT GROUPS * thalassemia,
,,,SUPPORT GROUPS * transplants,
PN-8100.4500-130,Cross Dresser Support Groups,"Mutual support groups whose members are people who adopt the dress and sometimes the manner of the opposite sex on either a permanent or occasional basis. Groups may focus on heterosexual cross dressers or other subpopulations, or may be structured for the parents, children, spouses or partners or significant others of cross dressers. The groups provide an opportunity for members to share their issues and concerns with other cross dressers in a safe, supportive environment. Meeting formats may include in-person, telephone or Internet options.",SUPPORT GROUPS * cross-dressing,
PN-8100.4500-240,Gay/Lesbian/Bisexual/Transgender Support Groups,"Mutual support groups whose members are gays, lesbians, bisexual individuals, people who are in the process of coming out, people who are questioning their sexual orientation, transgender individuals, cross-dressers and/or gender questioning youth. Some groups may include intersexed individuals (people born with reproductive organs and/or genitalia that are ambiguous or atypical). Groups may also be structured for the parents, children, heterosexual spouses or partners or other relatives or significant others of people with sexual orientation or gender identity issues. The groups provide an opportunity for members to share their issues and concerns with others in a safe, supportive environment. Meeting formats may include in-person, telephone or Internet options.",SUPPORT GROUPS * gender identity,
,,,SUPPORT GROUPS * sexual orientation,
PN-8100.4500-330,Immigrant/Refugee Support Groups,"Mutual support groups whose members are immigrants, refugees, temporary workers and other newcomers. The groups meet in-person, by telephone or via the Internet; and allow participants to share their experience, strengths and hopes to solve the problems they have in common and to address the cultural transition and quality of life issues that affect them all.",SUPPORT GROUPS * Immigrants/Ethnocultural Groups,
PN-8100.5000,Mental Health Related Support Groups,"Mutual support groups whose members are people who have specific social, emotional or other mental health problems. Families and friends may also be welcome. The groups meet in-person, by telephone or via the Internet; and provide an opportunity for participants to share information, practical tips for daily living and encouragement about issues related to the problem.",SUPPORT GROUPS * disability (mental health),
PN-8100.6500,Parenting/Family Support Groups,"Mutual support groups whose members are individuals who have experiences relating to adoption, birth control, family planning, pregnancy, childbirth, foster care, kinship care, marriage, parenting, separation/divorce, single parenting, step families, blended families, grandparent rights or other family situations. The groups meet in-person, by telephone or via the Internet; and provide an opportunity for participants to share their experience, strengths and hopes, understand their relationships and work through related emotions.",SUPPORT GROUPS * Parents (single),
PS-9800.1000,Boys/Girls Clubs,"Programs that provide a wide range of supervised recreational activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, through membership in boys and/or girls clubs. Club members are entitled to use recreational facilities and may have access to counselling, tutorial services, employment assistance, gang programs, drug abuse and alcoholism prevention and other activities and services that direct their energies toward positive social goals and facilitate healthy personality development.",BOYS AND GIRLS CLUBS,
PS-9800.9650,Y Facilities,"Programs that provide for the spiritual, social, mental and physical development of children and youth and their families through a broad-based program which includes classes, recreational activities, fitness programs, leadership development opportunities, camping, youth clubs, parent-child programs, youth employment support services, cross-cultural exchange programs, community involvement opportunities and a variety of other activities that give participants a chance to develop a wide range of interpersonal relationships, strengthen family ties and to achieve a satisfying degree of personal growth.",COMMUNITY CENTRES,"only apply Taxonomy term to records where a ""Y"" organization is the agency."
PW-9000,Volunteer Recruitment/Placement,"Programs that identify individuals who have chosen to work on a full or part-time basis without remuneration in one of the human service fields and which systematically evaluate the skills, talents and personalities of recruited volunteers and match them with human service agencies that need voluntary support.",INFORMATION AND REFERRAL * volunteering,
PX,Volunteer Opportunities,"Community organizations that are actively seeking individuals with the requisite knowledge, skills and experience who are willing to offer their services and work on a full or part-time basis without remuneration on projects or in positions that benefit the organization itself or the people it serves. Many agencies that provide volunteer opportunities also offer intensive training in the tasks that are required for the job.",VOLUNTEERING,
RD-6200,Pastoral Counselling/Chaplaincy Services,"Programs that specialize in providing therapeutic interventions which focus on helping people relate to and resolve their problems and concerns in the context of their religious/spiritual beliefs. Services are typically provided by ministers, rabbis, priests, imams or lay representatives of a religious tradition who integrate modern psychological thought and methods with traditional religious training. Included are pastoral counselling programs which are offered in a variety of settings including pastoral counselling centres, inpatient and outpatient mental health facilities and in private practice; chaplaincy services where non-denominational clerics are attached to a secular institution such as a hospital, prison, military unit, school, business, police department, fire department, university or private chapel; and other religious counselling disciplines.",COUNSELLING * Christian,
RF-6500,Peer Counselling,Programs that offer individual therapeutic sessions which are facilitated or guided by an individual who is the same age as the client (an age-peer) or who has experienced and resolved the same type of problem as the client.,COUNSELLING (peer/lay),
RM-6500,Outpatient Mental Health Facilities,"Programs that provide walk-in, walk-out diagnostic and treatment services for children, adolescents and/or adults who have acute or chronic psychiatric disorders but do not need 24-hour care; and/or provide counselling services for individuals, couples, families and extended family groups who may be experiencing difficulty resolving personal or interpersonal conflicts or making personal adjustments to stressful life situations such as separation, divorce, widowhood, loss of a child, poor health, unemployment, family violence, delinquency or substance abuse.",COUNSELLING * disability (mental health),
RM-7000.0500,Adult Residential Treatment Facilities,"Programs that provide a treatment-oriented living experience in a community-based facility for adults who have emotional disturbances and who, because of their disabilities, are unable to succeed in other placements, but who do not require inpatient psychiatric hospitalization. The service is geared to the specific needs of individual residents and their eventual return to the community as soon as their personal and social adjustment and development permit.",RESIDENTIAL PROGRAMS * disability (mental health),
RM-7000.1500,Children's/Adolescent Residential Treatment Facilities,"Programs that provide a therapeutic living environment in a community-based facility for emotionally disturbed, severely learning disabled, delinquent, pre-delinquent and/or abused children and youth who, because of the severity of their problems, are unable to adjust to other placements but do not require inpatient psychiatric hospitalization. Services include crisis stabilization, initial and continuing bio-psychosocial assessment, care management, medication management, therapy and mobilization of family support and community resources in the context of a comprehensive multidisciplinary treatment plan. Residents often attend on-grounds schools or public special education classes and receive services that are geared to their individual needs and the goal of returning to their own or their foster families.",RESIDENTIAL PROGRAMS * behaviour problems * Youth,
,,,RESIDENTIAL PROGRAMS * behaviour problems * children,
,,,RESIDENTIAL PROGRAMS * disability (mental health) * Youth,
,,,RESIDENTIAL PROGRAMS * autism * Children,
,,,RESIDENTIAL PROGRAMS * autism * Youth,
RP-1400.2500,General Counselling Services,"Programs that provide emotional support, information and guidance to help people resolve whatever personal or interpersonal difficulties they are experiencing. The counsellor can address any issue that is troubling the individual, but does not specialize in the treatment of any particular problem area.",COUNSELLING * disability (mental health),
,,,COUNSELLING,
,,,COUNSELLING * Families,
RP-1400.8000-020.05,Adult Child Sexual Abuse Counselling,"Programs that provide therapeutic interventions for adults who, as children, were subjected to sexual abuse or exploitation that took place within the family by a parent, guardian, step-parent, sibling or other relative or outside the home by a friend, neighbour, child care provider teacher or stranger and who dealing with the trauma of that experience in their adult lives. Child sexual abuse includes sexual kissing, touching, fondling a child's genitals, oral, anal or vaginal intercourse and incest (sexual intercourse between an adult family member and a child or between siblings) as well as behaviours that don’t involve contact such as genital exposure (""flashing""), intentionally engaging in sexual activity in front of a child, verbal pressure for sex, and sexual exploitation for purposes of prostitution or pornography. Counselling is offered in a variety of settings and may include individual, conjoint, family and group therapy sessions.",COUNSELLING * abuse (sexual) * Victims,
RP-1400.8000-020.15,Child Abuse Counselling,"Programs that provide therapeutic interventions for individuals and/or families who are experiencing child abuse including abandonment, neglect, or emotional, physical or sexual abuse by a parent, guardian, or other family or extended family member whom the child trusts and who is in a position of power over the child. Counselling is offered in a variety of settings and may include individual, conjoint, family and group therapy sessions for the child, the abusing or non-abusing parent(s) and siblings. Separate sessions may be available for young children who have been victimized and for older children in their teens.",COUNSELLING * abuse * Victims * Youth,
,,,COUNSELLING * abuse * Children * Victims,
RP-1400.8000-020.18,Child Sexual Abuse Counselling,"Programs that specialize in the treatment of children and youth who are coping with the trauma of child sexual abuse which occurs when an adult, older adolescent or another child threatens, forces or manipulates a child into sexual activity abusing the relationship of power and authority that adults have over children. Sexual abuse includes sexual kissing, touching, fondling a child’s genitals, oral, anal or vaginal intercourse and incest (sexual intercourse between an adult family member and a child or between siblings) as well as behaviours that don’t involve contact such as genital exposure (""flashing""), intentionally engaging in sexual activity in front of a child, verbal pressure for sex, and sexual exploitation for purposes of prostitution or pornography. Child sexual abuse can take place within the family by a parent, step-parent, sibling or other relative; or outside the home by a friend, neighbour, child care provider, teacher or stranger. Separate counselling sessions may be structured for young children who have been victimized and for older children in their teens.",COUNSELLING * abuse (sexual) * Victims * Youth,
,,,COUNSELLING * abuse (sexual) * Children * Victims,
RP-1400.8000-020.21,Counselling for Children Affected by Domestic Violence,"Programs that identify, assess and provide individual, group or family counselling or other therapeutic services for children who have been exposed to domestic violence. The therapy helps children cope with their emotional reaction to the violence, reduce problematic symptoms/behaviours (e.g., nightmares, insomnia, aggressiveness, outbursts of anger, withdrawal), understand, to the extent they can, why their parents are fighting and be reassured that it is not their fault. Children who are not ready to discuss what they have witnessed may be asked to use drawing of their family or their home, play with dolls or engage in other activities as a way of expressing what they are unable to say. Therapists also work to help the family create a safe and stable environment that will support the child's ability to heal. Specific therapeutic approaches will vary depending on the child's age, their level of traumatization and other factors. Treatment may involve consultation with the child's school or contacts with pediatricians, lawyers or other providers involved with the family.",COUNSELLING * family violence * Children * Victims,
,,,COUNSELLING * family violence * Victims * Youth,
RP-1400.8000-020.80,Spouse/Intimate Partner Abuse Counselling,"Programs that provide individual, conjoint, family or group treatment for individuals who are being physically, sexually and/or emotionally abused by their partners, and/or for perpetrators. Included are programs that provide therapeutic interventions for married couples, people who have live-in mates and/or gay and lesbian couples who are experiencing problems with abuse.",COUNSELLING * family violence * Victims,
RP-1400.8000-070,Anger Management,"Programs that provide educational and/or therapeutic opportunities for people who are interested in or who need to learn how to deal with their anger in a positive, functional way. Participants may include people who internalize their anger as well as those who act it out verbally or in behaviour toward friends, family, children, employers or other people in their lives. Included are court-ordered and voluntary programs for people who are involved in domestic violence or child abuse as well as general workshops for people who are uncomfortable with the way they express their anger.",TRAINING * anger management,
RP-1400.8000-100,Bereavement Counselling,"Programs that provide emotional support, problem-solving assistance, information and guidance for people who have recently lost a loved one. Included are counselling programs for widows and widowers, children who have lost a parent, parents who have lost a child and people who are in other similar situations.",COUNSELLING *grief,"2015 Feb 26 - SL added term, and added to records where appropriate"
RP-1400.8000-250,Gambling Counselling/Treatment,"Programs that provide emotional support, information and guidance in a variety of settings for people who are having difficulty controlling their compulsion to gamble, and for their families. Some programs may include a financial counselling and/or management component which helps individuals deal with issues related to their spending and accumulated debt.",COUNSELLING * addiction (gambling),
RP-1400.8000-270,Geriatric Counselling,"Programs that provide emotional support, information and guidance in a variety of settings for older adults who are having mental, emotional or social adjustment problems that have arisen as a result of the process of aging. Geriatric counselling services are provided primarily by social services professionals including licensed social workers rather that psychiatrists or other medical personnel.",COUNSELLING * Seniors,
RP-1400.8000-370,Juvenile/Youth Delinquency Diversion Counselling,"Programs that provide individual, conjoint, family and group counselling for people younger than age 18 who are at risk for or have committed delinquent acts and who are directed to participate in counselling for a period of time as an alternative to arrest, a hearing in a juvenile delinquency or youth court, or, in some cases, another court-ordered disposition. These programs are often provided by agencies which also offer other types of counselling for young people and their families, which coordinate with the referring agency concerning the client's responsible use of services and which involve the client's family in the counselling process as needed.",COUNSELLING * crime * Offenders * Youth,
RP-1400.8000-650,Parent Counselling,"Programs that provide a wide variety of therapeutic interventions for parents who are experiencing emotional difficulties or conflicts concerning their role as parents. Included are individual or group counselling for one or both parents or conjoint parent counselling which focuses on and explores the mental, emotional or social problems of the individual(s) which contribute to their parenting problems.",COUNSELLING * Parents,
RP-1400.8000-800,Sexual Assault Counselling,"Programs that provide crisis, short-term, and/or ongoing in-person counselling for people who are coping with the emotional trauma of being forced to engage in sexual intercourse or other sexual acts without their consent. Counselling and support may be offered in a variety of settings and may include individual, conjoint, family and group therapy sessions for the survivor and/or significant others.",COUNSELLING * assault (sexual) * Victims,
